Project Reference,Academic Year,Mobility Start Month,Mobility End Month,Mobility Duration,Activity (mob),Field of Education,Participant Nationality,Education Level,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending Country Code,Sending City,Sending Organization,Sending Organisation Erasmus Code,Receiving Country Code,Receiving City,Receiving Organization,Receiving Organisation Erasmus Code,Participants
2015-1-UK01-KA103-012715,2015-2016,2015-10,2016-04,209.0,Student mobility for traineeships between Programme Countries,"Languages, not further defined",UK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,UK,"CANTERBURY, KENT",UNIVERSITY OF KENT,UK CANTERB01,FR,Clermont-Ferrand,Lycee Jeanne D'Arc,-,1.0
2016-1-IT01-KA102-005082,2017-2018,2017-05,2017-06,32.0,VET learners traineeships in companies abroad,Biochemistry,IT,ISCED-3 - Upper secondary education,Male,Learner,No,No,No,29,IT,Vicenza,Fondazione Centro Produttività Veneto,-,UK,PLYMOUTH,TELLUS LIMITED,-,1.0
2015-1-UK01-KA102-013132,2016-2017,2016-03,2016-03,15.0,VET learners traineeships in companies abroad,Sports,UK,??? - ? Unknown ?,Male,Learner,No,No,No,18,UK,Warrington,WARRINGTON COLLEGIATE,-,PT,Lisboa,Sport Lisboa e Benfica,-,6.0
2016-1-TR01-KA103-025954,2017-2018,2017-01,2017-05,134.0,Student mobility for studies between Programme Countries,"Manufacturing and processing, not further defined",TR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22,TR,ANKARA,CANKAYA UNIVERSITESI VAKFI,TR ANKARA08,FI,VAASA,VAASAN YLIOPISTO,SF VAASA01,1.0
2017-1-EL01-KA102-035828,2018-2019,2018-03,2018-03,5.0,Staff training abroad,"Travel, tourism and leisure",EL,??? - ? Unknown ?,Male,Staff,No,No,No,31,EL,ΚΑΤΕΡΙΝΗ,PIERIA HOTELIERS ASSOCIATION,-,CY,Limassol,IHE INNOVATIOVE HOSPITALITY EDUCATION LTD,-,1.0
2015-1-DE03-KA101-013284,2015-2016,2015-06,2015-07,5.0,Structured Courses/Training Events,Teacher training with subject specialization,DE,??? - ? Unknown ?,Female,Staff,No,No,No,43,DE,Bensheim,"Schillerschule Bensheim, Grund-, Haupt- und Realschule",-,IT,Taormina,Carob Institute,-,1.0
2015-1-TR01-KA103-020044,2016-2017,2016-12,2017-02,88.0,Student mobility for traineeships between Programme Countries,"Materials (glass, paper, plastic and wood)",TR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,28,TR,ESKISEHIR,ANADOLU UNIVERSITY,TR ESKISEH01,DE,AACHEN,GESELLSCHAFT FUR ANGEWANDTE MIKRO UND OPTOELEKTRONIK MIT BESCHRANKTERHAFTUNG AMO GMBH,-,1.0
2018-1-NL01-KA103-038847,2018-2019,2018-08,2018-12,113.0,Student mobility for studies between Programme Countries,"Business and administration, not elsewhere classified",NL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,NL,ROTTERDAM,STICHTING HOGESCHOOL ROTTERDAM,NL ROTTERD03,FR,ROUBAIX,ECOLE HAUTES ETUDES COMMERCIALES NORD,F  LILLE15,1.0
2014-1-ES01-KA103-001058,2014-2015,2014-09,2015-01,137.0,Student mobility for traineeships between Programme Countries,Environmental sciences,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,23,ES,SEVILLA,UNIVERSIDAD PABLO DE OLAVIDE,E  SEVILLA03,DE,W�rzburg,JULIUS-MAXIMILIANS UNIVERSITAET WUERZBURG,D  WURZBUR01,1.0
2014-1-TR01-KA103-000211,2015-2016,2015-03,2015-07,153.0,Student mobility for studies between Programme Countries,Statistics,TR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,TR,ANKARA,GAZI UNIVERSITESI,TR ANKARA02,IT,MILANO,UNIVERSITA&apos; DEGLI STUDI DI MILANO-BICOCCA,I  MILANO16,1.0
2019-1-ES02-KA105-013031,2019-2020,2019-06,2019-06,8.0,Youth Exchanges - Programme Countries,? Unknown ?,IT,??? - ? Unknown ?,Male,Learner,No,No,No,23,IT,Cagliari,Coda di Lupo,-,ES,Plasencia,Asociación Multideportiva Euexia,-,1.0
2018-1-PL01-KA105-048045,2018-2019,2018-08,2018-08,7.0,Youth Exchanges - Programme Countries,? Unknown ?,HU,??? - ? Unknown ?,Female,Learner,No,Yes,No,22,HU,Magyaralm�s,Európa Ifjúsága Egyesület,-,PL,�owicz,Europejska Fundacja Rozwoju Czlowieka,-,1.0
2018-1-PL01-KA103-049727,2019-2020,2019-06,2019-09,95.0,Student mobility for traineeships between Programme Countries,"Security services, not elsewhere classified",PL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23,PL,WARSZAWA,AKADEMIA SZTUKI WOJENNEJ,PL WARSZAW68,EL,Rhodes,Algoos Study Work and travelTM INC,-,1.0
2016-1-DE01-KA103-002389,2016-2017,2016-11,2017-04,153.0,Student mobility for studies between Programme Countries,Psychology,DE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,24,DE,Düsseldorf,HEINRICH-HEINE-UNIVERSITAET DUESSELDORF,D  DUSSELD01,ES,Sevilla,UNIVERSIDAD PABLO DE OLAVIDE,E  SEVILLA03,1.0
2015-1-TR01-KA103-016937,2016-2017,2016-03,2016-07,119.0,Student mobility for studies between Programme Countries,"Business and administration, not further defined",TR,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23,TR,Bornova,EGE UNIVERSITY,TR IZMIR02,DE,TRIER,UNIVERSITAT TRIER,D  TRIER01,1.0
2017-1-FR01-KA103-035455,2017-2018,2017-11,2018-05,181.0,Student mobility for traineeships between Programme Countries,Environmental sciences,FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,22,FR,Marseille,UNIVERSITE D'AIX MARSEILLE,F  MARSEIL84,NO,TROMSO,UNIVERSITETET I TROMSOE,N  TROMSO01,1.0
2017-1-DE01-KA103-003468,2018-2019,2018-11,2018-11,3.0,Staff mobility for teaching between Programme Countries,Mathematics,DE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,-,DE,MAINZ,UNIVERSITAET KOBLENZ-LANDAU,D  KOBLENZ02,AT,Eisenstadt,STIFTUNG PRIVATE PÄDAGOGISCHE HOCHSCHULE BURGENLAND,A  EISENST01,1.0
2019-1-DE01-KA103-004568,2019-2020,2019-08,2019-12,148.0,Student mobility for studies between Programme Countries,History and archaeology,JP,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,31,DE,MARBURG,PHILIPPS UNIVERSITAET MARBURG,D  MARBURG01,FR,PESSAC,UNIVERSITE MICHEL DE MONTAIGNE- BORDEAUX 3,F  BORDEAU03,1.0
2014-3-CY02-KA105-000367,2015-2016,2015-06,2015-07,7.0,Mobility of youth workers - Partner Countries,? Unknown ?,AZ,??? - ? Unknown ?,Male,Staff,No,No,No,29,AZ,Khirdalan,Azerbaycan Tefekkur Gencler Assosiasiyasi,-,CY,Nicosia,Neolea gia Antallagi kai Katanoisi,-,1.0
2017-1-AT01-KA103-034613,2017-2018,2017-09,2018-02,137.0,Student mobility for studies between Programme Countries,Fine arts,AT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,24,AT,Linz,UNIVERSITAT FUR KUNSTLERISCHE UND INDUSTRIELLE GESTALTUNG LINZ,A  LINZ02,BE,HASSELT,Hogeschool PXL,B  HASSELT22,1.0
2018-1-IT02-KA103-047159,2018-2019,2018-09,2019-02,134.0,Student mobility for studies between Programme Countries,"Finance, banking and insurance",IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,25,IT,Roma,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,I  ROMA01,PL,WARSAW,AKADEMIA LEONA KOZMINSKIEGO,PL WARSZAW21,1.0
2014-2-DE04-KA105-000961,2015-2016,2015-03,2015-04,6.0,Youth Exchanges - Partner Countries,? Unknown ?,FR,??? - ? Unknown ?,Female,Learner,No,Yes,No,24,FR,Strasbourg,LABEL DRUGSTORE,-,DE,Hamburg,KiViN-Klub der Witzigen und der Schlagfertigen e.V.,-,1.0
2018-1-DE01-KA103-003914,2019-2020,2019-09,2019-09,3.0,Staff mobility for training between Programme Countries,? Unknown ?,DE,??? - ? Unknown ?,Female,Staff,No,No,No,-,DE,Bonn,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITAT BONN,D  BONN01,FI,GD Amsterdam,EAIE,-,1.0
2017-1-DE01-KA103-003363,2019-2020,2019-01,2019-05,104.0,Student mobility for studies between Programme Countries,"Business and administration, not further defined",FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,23,DE,GOETTINGEN,GESELLSCHAFT FÜR PRAXISBEZOGENE FORSCHUNG UND WISSENSCHAFTLICHE LEHRE GGMBH,D  GOTTING02,FR,TALENCE,Groupe KEDGE Business School,F  BORDEAU57,1.0
2015-1-HU01-KA102-013164,2016-2017,2016-09,2016-12,99.0,VET learners traineeships in companies abroad,Hair and beauty services,HU,??? - ? Unknown ?,Female,Learner,No,Yes,No,20,HU,Budapest,Artemisszió Alapítvány,-,ES,Granada,Servicios Integrales de Contratación e Intermediación DOMINUS,-,1.0
2017-1-DE02-KA102-003566,2019-2020,2019-04,2019-05,5.0,Staff training abroad,"Education, not elsewhere classified",DE,??? - ? Unknown ?,Male,Staff,No,No,No,26,DE,Kronach,Staatliches Berufliches Schulzentrum Kronach,-,CY,LEMESOS,C' TECHNICAL SCHOOL OF LEMESOS,-,1.0
2016-1-SE01-KA102-021875,2018-2019,2018-03,2018-03,5.0,Staff training abroad,Sports,SE,??? - ? Unknown ?,Male,Staff,No,No,No,36,SE,Lysekil,Gullmarsgymnasiet,-,UK,Huddersfield,Huddersfield New College,-,1.0
2017-1-FR01-KA103-037078,2018-2019,2018-02,2018-08,179.0,Student mobility for traineeships between Programme Countries,Environmental sciences,FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,23,FR,Paris,SORBONNE UNIVERSITE,F  PARIS468,DK,?rhus,AARHUS UNIVERSITET,DK ARHUS01,1.0
2015-1-ES01-KA103-015170,2016-2017,2016-05,2016-08,91.0,Student mobility for traineeships between Programme Countries,Literature and linguistics,ES,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,35,ES,LAS PALMAS DE GRAN CANARIA,UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,E  LAS-PAL01,UK,Edinburgh,Cosmopolita Scotland,-,1.0
2018-1-HU01-KA103-047073,2019-2020,2019-01,2019-01,7.0,Staff mobility for training between Programme Countries,? Unknown ?,HU,??? - ? Unknown ?,Male,Staff,No,No,No,-,HU,Budapest,EOTVOS LORAND TUDOMANYEGYETEM,HU BUDAPES01,DE,Regensburg,UNIVERSITAET REGENSBURG,-,1.0
2014-2-IT03-KA105-000993,2015-2016,2015-03,2015-03,7.0,Youth Exchanges - Programme Countries,? Unknown ?,LV,??? - ? Unknown ?,Female,Learner,No,No,No,21,LV,Amatas novads,Amata municipality,-,IT,Clusone (BG),Comune di Clusone,-,1.0
2017-1-UK01-KA102-036436,2018-2019,2018-10,2018-10,6.0,Staff training abroad,Sports,UK,??? - ? Unknown ?,Male,Staff,No,No,No,56,UK,Hillsborough,Invest in Sport Limited,-,FR,Grenoble,FC Grenoble Rugby,-,1.0
2019-1-IT02-KA103-060984,2019-2020,2019-09,2020-02,151.0,Student mobility for studies between Programme Countries,Law,IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,24,IT,CATANZARO,UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,I  CATANZA02,ES,LEIOA,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,E  BILBAO01,1.0
2017-1-DE01-KA103-003280,2017-2018,2017-09,2018-03,179.0,Student mobility for traineeships between Programme Countries,Political sciences and civics,DE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,24,DE,Dresden,TECHNISCHE UNIVERSITAET DRESDEN,D  DRESDEN02,BE,Brüssel,Ständige Vertretung der Bundesrepublik Deutschland bei der Europäischen Union,-,1.0
2017-1-UK01-KA103-035436,2017-2018,2017-09,2018-06,287.0,Student mobility for studies between Programme Countries,"Languages, not further defined",UK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,20,UK,LEEDS,UNIVERSITY OF LEEDS,UK LEEDS01,ES,BARCELONA,UNIVERSITAT DE BARCELONA,E  BARCELO01,1.0
2017-3-SI02-KA105-014366,2018-2019,2018-07,2018-08,12.0,Youth Exchanges - Partner Countries,? Unknown ?,RS,??? - ? Unknown ?,Male,Learner,No,No,No,20,RS,Novi Sad,Teatar34,-,SI,Ljubljana,KUD Pozitiv,-,1.0
2018-1-PL01-KA107-049398,2019-2020,2019-04,2019-04,5.0,Staff mobility for Teaching To/From Partner Countries,Fine arts,UZ,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Staff,No,No,No,-,UZ,Tashkent,National Institute of Fine art and design named after Kamoliddin Bekhzod,-,PL,KRAKOW,Akademia Sztuk Pieknych im Jana Matejki w Krakowie,PL KRAKOW10,1.0
2017-2-PT02-KA105-004402,2018-2019,2018-04,2018-04,9.0,Youth Exchanges - Programme Countries,? Unknown ?,PT,??? - ? Unknown ?,Male,Learner,No,No,No,22,PT,Caldas da Rainha,Associação Destino Caldas,-,PT,Caldas da Rainha,Associação Destino Caldas,-,1.0
2018-3-ES02-KA105-012304,2019-2020,2019-04,2019-04,13.0,Youth Exchanges - Programme Countries,? Unknown ?,LV,??? - ? Unknown ?,Male,Learner,No,Yes,No,26,LV,"B?rbele, B?rbeles pagasts, Vecumnieku novads",Jaunatne smaidam,-,ES,"PUERTO DE LA CRUZ, TENERIFE",DE AMICITIA,-,1.0
2014-1-RO01-KA103-000182,2014-2015,2014-09,2015-04,223.0,Student mobility for studies between Programme Countries,Business and administration,RO,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,22,RO,BRASOV,UNIVERSITATEA TRANSILVANIA DIN BRASOV,RO BRASOV01,FR,Rennes,GROUPE ECOLE SUPERIEURE COMMERCE RENNES,F  RENNES27,1.0
2018-1-LT01-KA103-046658,2019-2020,2019-04,2019-04,10.0,Staff mobility for teaching between Programme Countries,Fine arts,UK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Staff,No,No,No,-,UK,Lydd,Ore and Ingot,-,LT,VILNIUS,VILNIAUS DAILES AKADEMIJA,LT VILNIUS03,2.0
2017-3-DE04-KA105-016037,2018-2019,2018-08,2018-08,9.0,Youth Exchanges - Programme Countries,? Unknown ?,DE,??? - ? Unknown ?,Undefined,Learner,No,No,No,24,DE,Paderborn,Jugendnetzwerk Lambda e.V.,-,DE,Erfurt,Jugendnetzwerk Lambda e.V.,-,1.0
2014-2-LU02-KA105-000065,2014-2015,2014-09,2015-08,365.0,European Voluntary Service - Programme Countries,? Unknown ?,DE,??? - ? Unknown ?,Female,Learner,No,No,No,18,DE,L�neburg,VIA e.V. - Verein für internationalen und interkulturellen Austausch,-,LU,Luxembourg,Yolande asbl,-,1.0
2017-1-ES01-KA103-035444,2018-2019,2018-02,2018-06,103.0,Student mobility for traineeships between Programme Countries,Education science,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,29,ES,Madrid,UNIVERSIDAD COMPLUTENSE DE MADRID,E  MADRID03,UK,London,BEATRIX POTTER PRIMARY SCHOOL,-,1.0
2017-1-IT02-KA103-036401,2019-2020,2019-03,2019-05,64.0,Student mobility for traineeships between Programme Countries,Management and administration,IT,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Male,Learner,No,No,No,20,IT,Bergamo,Fondazione Istituto Tecnico Superiore per le nuove tecnologie per il made in Italy - Jobsacademy,I  BERGAMO05,ES,Barcelona,Vision Factory,-,1.0
2018-1-FI01-KA103-046774,2019-2020,2019-03,2019-07,150.0,Student mobility for studies between Programme Countries,"Business and administration, not further defined",FI,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23,FI,ROVANIEMI,LAPIN AMMATTIKORKEAKOULU OY,SF ROVANIE11,DE,KONSTANZ,HOCHSCHULE KONSTANZ TECHNIK WIRTSCHAFT UND GESTALTUNG,D  KONSTAN02,1.0
2014-1-CZ01-KA103-000201,2014-2015,2014-08,2015-01,157.0,Student mobility for studies between Programme Countries,Law,CZ,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,24,CZ,OLOMOUC,UNIVERZITA PALACKEHO V OLOMOUCI,CZ OLOMOUC01,NL,Den Haag,STICHTING HOGER BEROEPSONDERWIJN HAAGLANDEN EN RIJNSTREEK,NL S-GRAVE13,1.0
2016-1-PL01-KA103-023743,2017-2018,2017-06,2017-09,90.0,Student mobility for traineeships between Programme Countries,"Travel, tourism and leisure",UA,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,18,PL,Poznan,Wyzsza Szkola Handlu i Uslug w Poznaniu,PL POZNAN14,IT,Arborea,Horse Country Resort - Congress - Spa,-,1.0
2017-1-BE02-KA103-034660,2017-2018,2017-09,2017-12,112.0,Student mobility for studies between Programme Countries,"Business and administration, not further defined",BE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22,BE,ANTWERPEN,KAREL DE GROTE HOGESCHOOL KATHOLIEKE HOGESCHOOL ANTWERPEN,B  ANTWERP59,FR,BESAN�?ON,UNIVERSITE DE FRANCHE-COMTE,F  BESANCO01,1.0
2017-1-IT02-KA103-035838,2018-2019,2018-07,2018-07,3.0,Staff mobility for training between Programme Countries,? Unknown ?,IT,??? - ? Unknown ?,Female,Staff,No,No,No,-,IT,MESSINA,UNIVERSITA DEGLI STUDI DI MESSINA,I  MESSINA01,RO,Bac?u,Universit? di Bac?u Vasile Alecsandri,-,1.0
2019-1-NL01-KA103-060059,2019-2020,2019-08,2019-12,132.0,Student mobility for studies between Programme Countries,Psychology,DE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,21,NL,MAASTRICHT,UNIVERSITEIT MAASTRICHT,NL MAASTRI01,NO,TROMSO,UNIVERSITETET I TROMSOE,N  TROMSO01,1.0
2014-1-IT02-KA103-002581,2014-2015,2014-09,2015-07,301.0,Student mobility for studies between Programme Countries,Veterinary,IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,23,IT,BARI,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,I  BARI01,ES,CORDOBA,UNIVERSIDAD DE CORDOBA,E  CORDOBA01,1.0
2014-2-IT03-KA105-001181,2015-2016,2015-04,2015-04,8.0,Mobility of youth workers - Programme Countries,? Unknown ?,TR,??? - ? Unknown ?,Female,Staff,No,No,No,25,TR,ANKARA,TURKIYE GENCLIK BIRLIGI DERNEGI,-,IT,Itri,La milizia dei folli,-,1.0
2018-1-SK01-KA103-046151,2019-2020,2019-10,2020-03,152.0,Student mobility for traineeships between Programme Countries,Literature and linguistics,SK,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,24,SK,KOSICE,UNIVERZITA PAVLA JOZEFA SAFARIKA V KOSICIACH,SK KOSICE02,IT,Aquileia,Centrum Latinitatis Europae,-,1.0
2015-1-PT01-KA103-012676,2016-2017,2016-02,2016-05,92.0,Student mobility for studies between Programme Countries,Pharmacy,PT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,23,PT,LISBOA,UNIVERSIDADE DE LISBOA,P  LISBOA109,CZ,Brno,VETERINARNI A FARMACEUTICKA UNIVERZITA BRNO,CZ BRNO06,2.0
2017-1-IT02-KA103-035578,2017-2018,2017-08,2017-12,119.0,Student mobility for studies between Programme Countries,"Languages, not further defined",IT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21,IT,BERGAMO,UNIVERSITA' DEGLI STUDI DI BERGAMO,I  BERGAMO01,DE,MANNHEIM,UNIVERSITAET MANNHEIM,D  MANNHEI01,1.0
2018-1-LV02-KA105-002048,2018-2019,2018-06,2018-06,8.0,Youth Exchanges - Partner Countries,? Unknown ?,LV,??? - ? Unknown ?,Female,Learner,No,Yes,No,18,LV,Riga,"Kulturas biedriba ""Alternativa Realitate""",-,LV,Kesterciems,"Kulturas biedriba ""Alternativa Realitate""",-,1.0
2018-1-PL01-KA103-048351,2019-2020,2019-05,2019-05,5.0,Staff mobility for teaching between Programme Countries,"Arts, not further defined",PL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,-,PL,KATOWICE,AKADEMIA SZTUK PIEKNYCH W KATOWICACH,PL KATOWIC08,DE,WEIMAR,BAUHAUS-UNIVERSITAET WEIMAR,D  WEIMAR01,1.0
2015-1-NO01-KA102-013054,2017-2018,2017-03,2017-03,3.0,Staff training abroad,Handicrafts,NO,??? - ? Unknown ?,Male,Staff,No,No,No,42,NO,Gj�vik,Internasjonalt servicekontor for Oppland og Hedmark,-,UK,YOrk,TOPP & Co,-,1.0
2019-1-PL01-KA103-063071,2019-2020,2019-09,2019-09,5.0,Staff mobility for training between Programme Countries,? Unknown ?,PL,??? - ? Unknown ?,Female,Staff,No,No,No,-,PL,GDYNIA,AKADEMIA MARYNARKI WOJENNEJ,PL GDYNIA03,IE,Cork,Cork English Training World Ltd.,-,2.0
2017-1-FR01-KA102-036127,2018-2019,2018-03,2018-04,41.0,VET learners traineeships in companies abroad,Hair and beauty services,FR,ISCED-3 - Upper secondary education,Female,Learner,No,No,No,17,FR,TOULOUSE,Lycee Helene BOUCHER,-,IE,DUBLIN,MIDAS TOUCH,-,2.0
2016-1-CZ01-KA102-023101,2017-2018,2017-04,2017-04,3.0,Staff training abroad,Horticulture,CZ,??? - ? Unknown ?,Female,Staff,No,No,No,40,CZ,Mělník,"Ceska zahradnicka akademie Melnik - stredni skola a vyssi odborna skola, prispevkova organizace",CZ MELNIK01,AT,Langenlois,LFS Langenlois,-,1.0
2016-1-LV01-KA103-022397,2016-2017,2016-08,2017-01,152.0,Student mobility for studies between Programme Countries,"Personal services, not further defined",LV,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,LV,RIGA,SIA BIZNESA AUGSTSKOLA TURIBA,LV RIGA09,NL,Breda,STICHTING NHTV INTERNATIONALE HOGESCHOOL BREDA,NL BREDA10,1.0
2016-1-ES01-KA103-023847,2016-2017,2016-09,2017-02,144.0,Student mobility for studies between Programme Countries,Law,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,ES,LAS PALMAS DE GRAN CANARIA,UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,E  LAS-PAL01,IT,PALERMO,UNIVERSITA DEGLI STUDI DI PALERMO,I  PALERMO01,1.0
2016-1-MT01-KA103-015095,2017-2018,2017-05,2017-05,11.0,Staff mobility for teaching between Programme Countries,"Architecture and construction, not further defined",MT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Staff,No,No,No,-,MT,MSIDA,UNIVERSITA TA MALTA,MT MALTA01,IT,ROMA,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,I  ROMA02,1.0
2018-1-NL01-KA103-038685,2018-2019,2018-09,2019-01,150.0,Student mobility for studies between Programme Countries,Marketing and advertising,NL,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,21,NL,ENSCHEDE,STICHTING SAXION,NL ENSCHED03,IT,ROMA,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,I  ROMA02,2.0
2016-1-ES01-KA101-024411,2016-2017,2016-09,2016-09,5.0,Job Shadowing,Teacher training without subject specialization,ES,??? - ? Unknown ?,Female,Staff,No,No,No,54,ES,Barcelona,Escola Dolors Monserdà-Santapau,-,FI,Espoo,Nöykkiönlaakson koulu,-,1.0
2014-1-EL01-KA101-000626,2015-2016,2015-02,2015-02,5.0,Staff training abroad,Education,EL,??? - ? Unknown ?,Female,Staff,No,No,No,48,EL,PIRAEUS,PIRAIKA EKPEDEFTIRIA,-,CY,Kyperounta,DIMOTIKO SCHOLEIO KYPEROUNTAS - PERIFEREIAKO,-,1.0
2017-1-UK01-KA102-035674,2019-2020,2019-03,2019-04,15.0,VET learners traineeships in companies abroad,Health and welfare,UK,ISCED-4 - Post-secondary non-tertiary education,Female,Learner,No,Yes,No,19,UK,London,REY Europe Limited,-,PT,Laundos,Associacao de Mobilidade Intercultural Euromob,-,1.0
2018-1-DE01-KA103-003859,2018-2019,2018-08,2018-12,129.0,Student mobility for studies between Programme Countries,"Information and Communication Technologies (ICTs), not further defined",DE,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,27,DE,BERLIN,TECHNISCHE UNIVERSITAT BERLIN,D  BERLIN02,NO,TRONDHEIM,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,N  TRONDHE01,1.0
2014-1-ES01-KA103-000317,2014-2015,2014-10,2015-07,294.0,Student mobility for studies between Programme Countries,Agriculture,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23,ES,SEVILLA,UNIVERSIDAD DE SEVILLA,E  SEVILLA01,IT,PALERMO,UNIVERSITA DEGLI STUDI DI PALERMO,I  PALERMO01,1.0
2018-1-CZ01-KA105-047863,2019-2020,2019-04,2019-04,7.0,Mobility of youth workers - Partner Countries,? Unknown ?,CZ,??? - ? Unknown ?,Female,Staff,No,Yes,No,21,TR,Ankara,Zift Organization,-,CZ,Pec pod Sněžkou,GENESIS ZS,-,1.0
2018-1-FR01-KA103-046836,2019-2020,2019-03,2019-09,181.0,Student mobility for traineeships between Programme Countries,History and archaeology,FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,24,FR,Strasbourg,UNIVERSITE DE STRASBOURG,F  STRASBO48,AT,Vienne,United Nations Industrial Development Organization,-,1.0
2016-1-ES01-KA103-023150,2016-2017,2016-09,2017-07,300.0,Student mobility for studies between Programme Countries,"Business and administration, not further defined",ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21,ES,MADRID,UNIVERSIDAD AUTONOMA DE MADRID,E  MADRID04,DE,MUNCHEN,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,D  MUNCHEN01,1.0
2015-1-HU01-KA107-013268,2016-2017,2016-10,2016-10,10.0,Staff mobility for Teaching To/From Partner Countries,"Education, not further defined",RS,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,-,RS,JAGODINA,"Faculty of Education, University of Kragujevac",-,HU,BAJA,EOTVOS JOZSEF FOISKOLA,HU BAJA01,1.0
